Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,SOAP - listarMusicas,28802,0,2,587.509743153766503,0.5194998811930418,71.12289988435805,438.0,133.78663970664533,0.0,2,3,3,3,4,5,6,8,50,71,71
POST,SOAP - listarUsuarios,29000,0,2,587.525524259103334,0.5244000349193811,71.25560007989407,422.0,134.70635898523417,0.0,2,3,3,3,4,5,6,8,51,67,71
,Aggregated,57802,0,2,587.5176607354205647,0.5194998811930418,71.25560007989407,429.97259610394104,268.4929986918795,0.0,2,3,3,3,4,5,6,8,51,67,71
