Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,SOAP - listarMusicas,437,0,1,18.379880548009406,0.7700999267399311,5.443600006401539,438.0,2.7431890957009513,0.0,1,1,1,1,2,2,2,3,5,5,5
POST,SOAP - listarUsuarios,371,0,1,18.3913000084088256,0.6661000661551952,4.239699803292751,422.0,2.328885937082501,0.0,1,1,1,1,2,2,2,3,4,4,4
,Aggregated,808,0,1,18.3851238893561693,0.6661000661551952,5.443600006401539,430.65346534653463,5.072075032783452,0.0,1,1,1,1,2,2,2,3,5,5,5
