Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,gRPC: ListUsers,112,0,360.0,10.9532163679844,8.963296000729315,30714.143397999578,97.0,2.5118430734463275,0.0,360,440,500,530,650,770,970,1200,31000,31000,31000
POST,gRPC: ListSongs,142,0,370.0,11.008358490209,15.384665002784459,13919.87430700101,539.0,2.4170565423728814,0.0,370,450,480,500,630,680,870,7300,14000,14000,14000
POST,gRPC: ListPlaylistsByUser,155,0,340.0,10.60445666060474,5.575306000537239,761.0649720008951,124.0,2.725112768361582,0.0,340,440,480,500,570,620,700,700,760,760,760
POST,gRPC: ListPlaylistsBySong,132,0,340.0,10.5962763129614,9.726887998112943,1181.8891170005372,168.0,3.104258892655367,0.0,340,400,460,490,560,720,820,840,1200,1200,1200
POST,gRPC: ListSongsByPlaylist,115,0,340.0,10.44783229616587,13.302764997206395,879.7122390024015,548.0,2.9620790960451977,0.0,340,430,470,490,590,700,790,820,880,880,880
,Aggregated,579,0,350.0,11.8557810898029,5.575306000537239,30714.143397999578,293.6580310880829,13.720350372881356,0.0,350,430,480,500,590,700,820,970,31000,31000,31000
