Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GraphQL: Musica,589,0,450.0,703.3634687657351,8.312409001518972,149152.6999939997,97.0,2.870470154148849,0.0,450,530,570,600,700,740,790,820,149000,149000,149000
POST,GraphQL: Musicas,599,0,460.0,500.16859571438596,15.34567899943795,28966.99947399975,539.0,2.91920479174051,0.0,460,520,570,600,690,770,810,850,29000,29000,29000
POST,GraphQL: Playlist,591,0,440.0,453.28741423014924,4.960698999639135,10286.874172001262,124.0,2.8802170816671815,0.0,440,520,560,590,660,720,760,820,10000,10000,10000
POST,GraphQL: PlaylistsPorUsuario,530,0,460.0,541.3829458282255,9.567504002916394,42756.07074900108,168.0,2.5829357923580476,0.0,460,540,580,610,690,770,810,820,43000,43000,43000
POST,GraphQL: Usuarios,575,0,460.0,450.6477533200687,35.23375400254736,1077.7449739980511,548.0,2.8022416615205232,0.0,460,520,590,620,680,730,790,830,1100,1100,1100
,Aggregated,2884,0,450.0,529.7608714264743,4.960698999639135,149152.6999939997,297.3016643550624,14.055069481435112,0.0,450,530,570,600,680,740,800,820,29000,149000,149000
