Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /musicas,77,0,390.0,342.8639983373744,5.454269001347711,770.1671630020428,781.0,3.1044855544964225,0.0,390,480,510,550,630,680,770,770,770,770,770
GET,GET /musicas/1/playlists,71,0,390.0,410.90406166178684,7.053184999676887,2423.0901340015407,249.0,2.862577589210987,0.0,390,490,580,590,670,730,790,2400,2400,2400,2400
GET,GET /playlists/1,71,0,450.0,517.3462886622743,7.460128999809967,4699.073282001336,395.0,2.862577589210987,0.0,450,520,590,630,710,750,4500,4700,4700,4700,4700
GET,GET /usuarios,64,0,440.0,533.7025524219143,9.652516000642208,3871.317719000217,693.0,2.5803516297113123,0.0,450,520,630,670,830,1600,2600,3900,3900,3900,3900
GET,GET /usuarios/1/playlists,53,0,370.0,443.4969136980143,7.018799999059411,4837.140087998705,249.0,2.1368536933546802,0.0,370,460,550,560,690,770,800,4800,4800,4800,4800
,Aggregated,336,0,410.0,446.3351265654269,5.454269001347711,4837.140087998705,486.3392857142857,13.546846055984389,0.0,410,500,560,600,690,770,1800,3900,4800,4800,4800
