Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /musicas,34,1,6,20.08828485272448,5.3511229998548515,170.55568100113305,912.9705882352941,1.039760952516373,0.030581204485775674,7,7,8,10,48,120,170,170,170,170,170
GET,GET /musicas/1/playlists,29,0,8,22.659472345147716,6.266911001148401,371.42002299879096,249.0,0.8868549300874945,0.0,8,8,9,10,12,67,370,370,370,370,370
GET,GET /playlists/1,33,1,8,24.02825693989695,6.947804999072105,383.4334390012373,542.7878787878788,1.0091797480305973,0.030581204485775674,8,9,10,12,18,120,380,380,380,380,380
GET,GET /usuarios,42,0,7,23.096731881153012,5.348836002667667,220.11120499882963,693.0,1.2844105884025783,0.0,7,7,10,16,49,150,220,220,220,220,220
GET,GET /usuarios/1/playlists,30,0,8,23.228068666624797,5.915662997722393,241.13887100247666,249.0,0.9174361345732702,0.0,8,8,9,10,39,180,240,240,240,240,240
,Aggregated,168,2,8,22.61883131562908,5.348836002667667,383.4334390012373,552.0833333333334,5.137642353610313,0.06116240897155135,8,8,9,10,37,120,220,370,380,380,380
