Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,SOAP - listarMusicas,660,0,1,600.4859415125101805,0.6437001284211874,20.374400075525045,438.0,18.859826259552296,0.0,1,1,2,2,2,3,4,5,20,20,20
POST,SOAP - listarUsuarios,673,0,1,600.5025945054436376,0.5836999043822289,19.50969989411533,422.0,19.23130768587681,0.0,1,1,2,2,2,3,4,4,20,20,20
,Aggregated,1333,0,1,600.49434921261837,0.5836999043822289,20.374400075525045,429.92198049512376,38.09113394542911,0.0,1,1,2,2,2,3,4,4,20,20,20
