Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GraphQL: Musica,33,1,9,20.293766243191907,7.889034000982065,261.35484500264283,253.66666666666666,1.0925187598527313,0.0331066290864464,9,9,10,11,14,110,260,260,260,260,260
POST,GraphQL: Musicas,27,0,18,37.786237036791,14.743733998329844,334.39268399888533,539.0,0.8938789853340527,0.0,18,19,24,40,79,82,330,330,330,330,330
POST,GraphQL: Playlist,28,0,6,7.071589785742357,4.9097320006694645,40.1152659978834,124.0,0.9269856144204992,0.0,6,6,7,7,7,7,40,40,40,40,40
POST,GraphQL: PlaylistsPorUsuario,30,1,12,34.22092199980398,8.862111997586908,270.98665299854474,337.96666666666664,0.993198872593392,0.0331066290864464,12,13,15,63,120,150,270,270,270,270,270
POST,GraphQL: Usuarios,29,0,15,35.281670517398545,11.694076001731446,347.15157599930535,548.0,0.9600922435069456,0.0,15,16,17,19,59,200,350,350,350,350,350
,Aggregated,147,2,12,26.787233367470428,4.9097320006694645,347.15157599930535,356.6462585034014,4.866674475707621,0.0662132581728928,12,15,17,18,59,110,270,330,350,350,350
