Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /musicas,607,0,440.0,677.6531531845789,6.245603999559535,77742.73138400167,781.0,2.931280380626484,0.0,440,510,560,590,670,730,790,860,78000,78000,78000
GET,GET /musicas/1/playlists,542,1,420.0,422.00048852768595,7.8678440004296135,905.4770570000983,258.28228782287823,2.617387094397948,0.004829127480439018,420,490,530,560,640,710,780,810,910,910,910
GET,GET /playlists/1,614,1,440.0,443.85108475252383,7.651333999092458,1050.6514010012324,402.942996742671,2.9650842729895572,0.004829127480439018,440,520,570,600,670,730,780,790,1100,1100,1100
GET,GET /usuarios,640,0,430.0,431.9085297671334,6.187218001286965,1431.9335219988716,693.0,3.090641587480972,0.0,430,510,560,580,650,720,790,840,1400,1400,1400
GET,GET /usuarios/1/playlists,565,0,420.0,425.76978664245894,6.894424001075095,1513.737173001573,249.0,2.7284570264480457,0.0,420,490,530,560,630,700,770,790,1500,1500,1500
,Aggregated,2968,2,430.0,481.659596801566,6.187218001286965,77742.73138400167,487.08490566037733,14.332850361943008,0.009658254960878037,430,500,550,580,650,720,780,820,1500,78000,78000
